,Unnamed: 0,ID,splcolor_text,splshape_text,product_code,medicine_name,dosage_form,splimage,splimprint,original_name,num_colors,num_imprints,image_path,shape_label,color_label
0,9599,18376,WHITE,ROUND,68084-469,HYDROCORTISONE,C42998,7A199817-24F1-3D6D-E053-2991AA0A922F,3579;V,7a199817-24f1-3d6d-e053-2991aa0a922f.jpg,1,2.0,data/pillbox_production_images_full_202008/7a199817-24f1-3d6d-e053-2991aa0a922f.jpg,10,10
1,1785,44148,PINK,OVAL,51285-407,ENJUVIA,C42998,512850407,E;2,512850407.jpg,1,2.0,data/pillbox_production_images_full_202008/512850407.jpg,7,6
2,1141,24055,WHITE,ROUND,0093-2046,PIOGLITAZONE,C42998,00093-2046-56_EE29773B,ACTOS;45,00093-2046-56_EE29773B.jpg,1,2.0,data/pillbox_production_images_full_202008/00093-2046-56_EE29773B.jpg,10,10
3,7793,31039,WHITE,CAPSULE,43353-090,GEMFIBROZIL,C42931,433530090,225;IG,433530090.jpg,1,2.0,data/pillbox_production_images_full_202008/433530090.jpg,1,10
4,9693,11615,WHITE,ROUND,0591-2229,METOCLOPRAMIDE HYDROCHLORIDE,C42998,00591-2229-10_01090098,WPI;2229 OR PLIVA;430,00591-2229-10_01090098.jpg,1,3.0,data/pillbox_production_images_full_202008/00591-2229-10_01090098.jpg,10,10
5,6679,5748,YELLOW,OVAL,0009-3449,GLYNASE,C42998,000093449,GLYNASE;6;PT,000093449.jpg,1,3.0,data/pillbox_production_images_full_202008/000093449.jpg,7,11
6,6246,34452,BLUE,ROUND,0603-2949,CLONAZEPAM,C42998,00603-2949-28_BE155F1A,2531;V,00603-2949-28_BE155F1A.jpg,1,2.0,data/pillbox_production_images_full_202008/00603-2949-28_BE155F1A.jpg,10,1
7,3810,4109,PINK,CAPSULE,43598-219,AMOXICILLIN,C42931,43598-0219-01_NLMIMAGE10_FA39FD7F,AMOXIL;875,43598-0219-01_NLMIMAGE10_FA39FD7F.jpg,1,2.0,data/pillbox_production_images_full_202008/43598-0219-01_NLMIMAGE10_FA39FD7F.jpg,1,6
8,6814,44838,WHITE,OVAL,0378-6163,AMLODIPINE BESYLATE/ATORVASTATIN CALCIUM,C42931,003786163,CDT;254,003786163.jpg,1,2.0,data/pillbox_production_images_full_202008/003786163.jpg,7,10
9,2249,27018,YELLOW,CAPSULE,43353-034,CALCITRIOL,C25158,433530034,547,433530034.jpg,1,1.0,data/pillbox_production_images_full_202008/433530034.jpg,1,11
10,7624,45079,BLUE,ROUND,0378-0781,FEXOFENADINE HYDROCHLORIDE,C42931,003780781,M;753,003780781.jpg,1,2.0,data/pillbox_production_images_full_202008/003780781.jpg,10,1
11,4670,4953,BLUE,ROUND,43353-944,METOPROLOL TARTRATE,C42931,433530944,C;75,433530944.jpg,1,2.0,data/pillbox_production_images_full_202008/433530944.jpg,10,1
12,7547,4335,TURQUOISE,ROUND,0054-4186,DEXAMETHASONE,C42998,00054-4186-25_4A232579,54;769,00054-4186-25_4A232579.jpg,1,2.0,data/pillbox_production_images_full_202008/00054-4186-25_4A232579.jpg,10,9
13,7754,39012,WHITE,ROUND,51079-299,CLONIDINE HYDROCHLORIDE,C42998,510790299,MYLAN;152,510790299.jpg,1,2.0,data/pillbox_production_images_full_202008/510790299.jpg,10,10
14,3736,3162,WHITE,ROUND,0135-0070,TUMS,C42998,001350070,TUMS,001350070.jpg,1,1.0,data/pillbox_production_images_full_202008/001350070.jpg,10,10
15,9147,65950,WHITE,ROUND,60687-356,BENZTROPINE MESYLATE,C42998,76520727-2175-C982-E053-2991AA0AD090,N;9,76520727-2175-c982-e053-2991aa0ad090.jpg,1,2.0,data/pillbox_production_images_full_202008/76520727-2175-c982-e053-2991aa0ad090.jpg,10,10
16,5710,17836,BROWN,OVAL,0003-4221,KOMBIGLYZE,C42930,000034221,5;500;4221,000034221.jpg,1,3.0,data/pillbox_production_images_full_202008/000034221.jpg,7,2
17,4079,22436,WHITE,CAPSULE,67253-388,DOXYCYCLINE HYCLATE,C25158,672530388,2984,672530388.jpg,2,1.0,data/pillbox_production_images_full_202008/672530388.jpg,1,10
18,5884,2676,YELLOW,OVAL,0078-0337,TRILEPTAL,C42931,00078-0337-05_DC126E13,TE;TE;CG;CG,00078-0337-05_DC126E13.jpg,1,4.0,data/pillbox_production_images_full_202008/00078-0337-05_DC126E13.jpg,7,11
19,7986,36414,WHITE,ROUND,60505-3246,FAMCICLOVIR,C42931,605053246,APO;FAM;250,605053246.jpg,1,3.0,data/pillbox_production_images_full_202008/605053246.jpg,10,10
20,7531,35890,WHITE,CAPSULE,68084-835,FENOFIBRATE,C25158,134_MG_FENOFIBRATE_CAPSULE,G;0522,134_mg_Fenofibrate_Capsule.jpg,1,2.0,data/pillbox_production_images_full_202008/134_mg_Fenofibrate_Capsule.jpg,1,10
21,8090,54348,GREEN,OVAL,60687-231,SERTRALINE HYDROCHLORIDE,C42998,25_MG_SERTRALINE_TABLET,212;I;G,25_mg_Sertraline_Tablet.jpg,1,3.0,data/pillbox_production_images_full_202008/25_mg_Sertraline_Tablet.jpg,7,4
22,7902,37330,WHITE,CAPSULE,60429-175,CITALOPRAM,C42931,604290175,E21,604290175.jpg,1,1.0,data/pillbox_production_images_full_202008/604290175.jpg,1,10
24,8654,27180,WHITE,ROUND,69189-4097,BACLOFEN,C42998,00172-4097-60,4097;TV,00172-4097-60.jpg,1,2.0,data/pillbox_production_images_full_202008/00172-4097-60.jpg,10,10
25,8139,11560,YELLOW,CAPSULE,60429-289,CLOMIPRAMINE HYDROCHLORIDE,C25158,604290289,CLOM50,604290289.jpg,1,1.0,data/pillbox_production_images_full_202008/604290289.jpg,1,11
26,6368,5011,PINK,ROUND,0078-0492,TEGRETOL,C42893,000780492,Tegretol;52;52,000780492.jpg,1,3.0,data/pillbox_production_images_full_202008/000780492.jpg,10,6
27,7092,18623,TURQUOISE,ROUND,0054-8183,DEXAMETHASONE,C42998,000548183,54;769,000548183.jpg,1,2.0,data/pillbox_production_images_full_202008/000548183.jpg,10,9
28,166,36530,PURPLE,ROUND,76282-328,WARFARIN SODIUM,C42998,762820328,IG;W;2,762820328.jpg,1,3.0,data/pillbox_production_images_full_202008/762820328.jpg,10,7
29,5096,43027,YELLOW,ROUND,43353-494,COUMADIN,C42998,433530494,7;1;2;COUMADIN,433530494.jpg,1,4.0,data/pillbox_production_images_full_202008/433530494.jpg,10,11
30,5566,24058,BLUE,ROUND,0378-1043,DIVALPROEX SODIUM,C42905,003781043,M;943,003781043.jpg,1,2.0,data/pillbox_production_images_full_202008/003781043.jpg,10,1
31,2497,26929,WHITE,ROUND,0093-4235,NADOLOL,C42998,00093-4235-01_222D910C,20;Z;4235,00093-4235-01_222D910C.jpg,1,3.0,data/pillbox_production_images_full_202008/00093-4235-01_222D910C.jpg,10,10
32,4690,42010,BROWN,OVAL,68084-512,SIMVASTATIN,C42931,68180-0479-01_B4215A0A,LL;C03,68180-0479-01_B4215A0A.jpg,1,2.0,data/pillbox_production_images_full_202008/68180-0479-01_B4215A0A.jpg,7,2
34,1991,29803,YELLOW,CAPSULE,0054-0106,RAMIPRIL,C25158,000540106,54;328,000540106.jpg,1,2.0,data/pillbox_production_images_full_202008/000540106.jpg,1,11
35,1284,11108,PINK,OVAL,0172-5413,FLUCONAZOLE,C42998,00172-5413-46_5E2DAF0D,5413;200,00172-5413-46_5E2DAF0D.jpg,1,2.0,data/pillbox_production_images_full_202008/00172-5413-46_5E2DAF0D.jpg,7,6
36,8305,21867,WHITE,ROUND,0228-3083,ALPRAZOLAM,C42927,002283083,R;83,002283083.jpg,1,2.0,data/pillbox_production_images_full_202008/002283083.jpg,10,10
38,5028,62086,PURPLE,ROUND,60687-351,BUPROPION HYDROCHLORIDE,C42931,ATX01570,APO;BUP;100,ATX01570.jpg,1,3.0,data/pillbox_production_images_full_202008/ATX01570.jpg,10,7
39,720,32627,WHITE,ROUND,65162-521,PROMETHAZINE HYDROCHLORIDE,C42998,65162-0521-11_NLMIMAGE10_0A3E8554,AN;521,65162-0521-11_NLMIMAGE10_0A3E8554.jpg,1,2.0,data/pillbox_production_images_full_202008/65162-0521-11_NLMIMAGE10_0A3E8554.jpg,10,10
40,7017,21981,ORANGE,ROUND,0009-0064,PROVERA,C42998,000090064,PROVERA;2;5,000090064.jpg,1,3.0,data/pillbox_production_images_full_202008/000090064.jpg,10,5
41,6044,10922,WHITE,ROUND,0574-0145,TROSPIUM CHLORIDE,C42931,005740145,PAD;145,005740145.jpg,1,2.0,data/pillbox_production_images_full_202008/005740145.jpg,10,10
42,966,19320,YELLOW,ROUND,0378-0355,DICLOFENAC SODIUM,C42930,003780355,M;355,003780355.jpg,1,2.0,data/pillbox_production_images_full_202008/003780355.jpg,10,11
43,8658,27764,WHITE,OVAL,29300-135,CLONIDINE HYDROCHLORIDE,C42998,29300-0135-05_NLMIMAGE10_B048D836,U;135,29300-0135-05_NLMIMAGE10_B048D836.jpg,1,2.0,data/pillbox_production_images_full_202008/29300-0135-05_NLMIMAGE10_B048D836.jpg,7,10
44,2963,36562,WHITE,ROUND,0143-1261,ISONIAZID,C42998,001431261,Westward;261,001431261.jpg,1,2.0,data/pillbox_production_images_full_202008/001431261.jpg,10,10
45,5695,34230,BLUE,CAPSULE,68012-104,ZEGERID,C25158,68012-0104-30_EE1DF76F,40,68012-0104-30_EE1DF76F.jpg,2,1.0,data/pillbox_production_images_full_202008/68012-0104-30_EE1DF76F.jpg,1,1
46,7728,25056,WHITE,ROUND,49884-232,DONEPEZIL HYDROCHLORIDE,C42998,49884-0232-11_NLMIMAGE10_B8405C22,p;232,49884-0232-11_NLMIMAGE10_B8405C22.jpg,1,2.0,data/pillbox_production_images_full_202008/49884-0232-11_NLMIMAGE10_B8405C22.jpg,10,10
47,3983,40347,WHITE,OVAL,68180-404,CEFPROZIL,C42998,681800404,LUPIN;500,681800404.jpg,1,2.0,data/pillbox_production_images_full_202008/681800404.jpg,7,10
48,178,29015,WHITE,OVAL,33342-032,PRAMIPEXOLE DIHYDROCHLORIDE,C42998,33342-0032-10_NLMIMAGE10_8D4146CA,CL;3,33342-0032-10_NLMIMAGE10_8D4146CA.jpg,1,2.0,data/pillbox_production_images_full_202008/33342-0032-10_NLMIMAGE10_8D4146CA.jpg,7,10
49,2756,37828,WHITE,ROUND,62037-831,METOPROLOL SUCCINATE,C42930,62037-0831-10_7812BC45,831,62037-0831-10_7812BC45.jpg,1,1.0,data/pillbox_production_images_full_202008/62037-0831-10_7812BC45.jpg,10,10
50,9523,827,ORANGE,ROUND,66267-070,DICLOFENAC POTASSIUM,C42931,00093094801,93;948,00093094801.jpg,1,2.0,data/pillbox_production_images_full_202008/00093094801.jpg,10,5
51,7995,46289,WHITE,OVAL,68084-617,ESCITALOPRAM,C42931,10_MG_ESCITALOPRAM_TABLET,F;5;4,10_mg_Escitalopram_Tablet.jpg,1,3.0,data/pillbox_production_images_full_202008/10_mg_Escitalopram_Tablet.jpg,7,10
52,1847,33129,YELLOW,OVAL,58177-265,BUSPIRONE HYDROCHLORIDE,C42998,581770265,ETHEX;265;10;mg,581770265.jpg,1,4.0,data/pillbox_production_images_full_202008/581770265.jpg,7,11
53,7358,47139,WHITE,OVAL,67544-024,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,C42998,675440024,M358,675440024.jpg,1,1.0,data/pillbox_production_images_full_202008/675440024.jpg,7,10
54,2510,46327,PINK,CAPSULE,10147-0892,GALANTAMINE HYDROBROMIDE,C42916,101470892,GAL;16,101470892.jpg,1,2.0,data/pillbox_production_images_full_202008/101470892.jpg,1,6
55,2435,26394,WHITE,ROUND,0536-4544,SODIUM BICARBONATE,C42998,00536-4544-10_3D0E9E84,119,00536-4544-10_3D0E9E84.jpg,1,1.0,data/pillbox_production_images_full_202008/00536-4544-10_3D0E9E84.jpg,10,10
56,4636,36687,ORANGE,OVAL,0004-0143,ROCALTROL,C42954,000040143,ROCALTROL;0.25;ROCHE,000040143.jpg,1,3.0,data/pillbox_production_images_full_202008/000040143.jpg,7,5
57,8925,49848,GREEN,ROUND,50090-1863,PROPRANOLOL HYDROCHLORIDE,C42998,50111046901,PLIVA;469,50111046901.jpg,1,2.0,data/pillbox_production_images_full_202008/50111046901.jpg,10,4
58,5552,54520,BROWN,CAPSULE,60687-248,PROPRANOLOL HYDROCHLORIDE,C42916,160_MG_PROPRANOLOL_HCL_ER_CAPSULE,160;RD203,160_mg_Propranolol_HCl_ER_Capsule.jpg,1,2.0,data/pillbox_production_images_full_202008/160_mg_Propranolol_HCl_ER_Capsule.jpg,1,2
59,5003,34479,WHITE,CAPSULE,0904-5833,LORATADINE AND PSEUDOEPHEDRINE SULFATE,C42930,009045833,RX724,009045833.jpg,1,1.0,data/pillbox_production_images_full_202008/009045833.jpg,1,10
60,9691,16699,YELLOW,ROUND,0378-0531,SULINDAC,C42998,003780531,MYLAN;531,003780531.jpg,1,2.0,data/pillbox_production_images_full_202008/003780531.jpg,10,11
62,543,32095,ORANGE,ROUND,42858-301,HYDROMORPHONE HYDROCHLORIDE,C42998,428580301,P;2,428580301.jpg,1,2.0,data/pillbox_production_images_full_202008/428580301.jpg,10,5
63,6890,31020,BLUE,ROUND,68084-457,LABETALOL HYDROCHLORIDE,C42931,680840457,WATSON;607,680840457.jpg,1,2.0,data/pillbox_production_images_full_202008/680840457.jpg,10,1
64,3936,68104,WHITE,ROUND,53329-987,GUAIFENESIN 400MG,C42998,6D996ED0-6E6C-0311-E053-2A91AA0ADA14,TCL;272,6d996ed0-6e6c-0311-e053-2a91aa0ada14.jpg,1,2.0,data/pillbox_production_images_full_202008/6d996ed0-6e6c-0311-e053-2a91aa0ada14.jpg,10,10
66,3000,3432,BLUE,ROUND,0591-0795,DICYCLOMINE HYDROCHLORIDE,C42998,00591-0795-10_D9156CCB,WATSON;795,00591-0795-10_D9156CCB.jpg,1,2.0,data/pillbox_production_images_full_202008/00591-0795-10_D9156CCB.jpg,10,1
67,6216,15421,WHITE,CAPSULE,51079-436,DOXEPIN HYDROCHLORIDE,C25158,510790436,MYLAN;1049,510790436.jpg,1,2.0,data/pillbox_production_images_full_202008/510790436.jpg,1,10
