image_name,pred_shape,pred_color,pred_form,pred_imprint,top1_medicine,top1_score,top2_medicine,top2_score,top3_medicine,top3_score,true_label,true_medicine
003782722.jpg,ROUND,BLUE,C42998,AMG212,Oxycodone Hydrochloride,1.85,Hyoscyamine Sulfate,1.75,Levsin,1.75,MG22,Galantamine
625590149.jpg,CAPSULE,GREEN,C25158,104,bethanechol chloride,2.0,Sulfasalazine,2.0,dantrolene sodium,1.8333333333333335,1490,Esterified Estrogens and Methyltestosterone
51862-0172-12_NLMIMAGE10_55462AE1.jpg,ROUND,PINK,C42998,172,Fluoride,2.25,Fanapt,1.9666666666666668,FANAPT,1.9666666666666668,172,Fluoride
CBR07490.jpg,OVAL,WHITE,C42998,I22,Linezolid,2.107142857142857,Sulfamethoxazole and Trimethoprim,1.9166666666666665,Sulfamethoxazole and Trimethoprim,1.9166666666666665,I22,Linezolid
75987-0010-03_NLMIMAGE10_B439DA0E.jpg,OVAL,BLUE,C42998,ZAZ,Mycophenolate Mofetil,1.3214285714285714,Simvastatin,1.3214285714285714,Azathioprine,1.25,HZT,DUEXIS
00093-7471-43_NLMIMAGE10_9E35CF7E.jpg,CAPSULE,WHITE,C42998,937174,Rizatriptan Benzoate,1.9945054945054945,tramadol hydrochloride,1.9166666666666665,Triazolam,1.893939393939394,937471,Rizatriptan Benzoate
547380902.jpg,ROUND,YELLOW,C42931,MP112,Thioridazine Hydrochloride,2.35,Sulindac,2.2424242424242427,SULINDAC,2.2424242424242427,MP112,Sulindac
00054-0254-22_NLMIMAGE10_463BA32D.jpg,ROUND,PINK,C42998,54587,Irbesartan and Hydrochlorothiazide,2.0757575757575757,Losartan Potassium and Hydrochlorothiazide,1.893939393939394,Meperidine Hydrochloride,1.893939393939394,54857,Irbesartan and Hydrochlorothiazide
000690242.jpg,OVAL,BLUE,C42931,FF,Toviaz,1.5,Toviaz,1.5,Finasteride,1.5,FS,Toviaz
422910367.jpg,ROUND,WHITE,C42998,J246,Lamotrigine,2.438888888888889,Lamotrigine,2.438888888888889,Lamotrigine,2.0166666666666666,J246,Lamotrigine
433530826.jpg,OVAL,WHITE,C42931,PD1501,Lipitor,2.1055555555555556,ATORVASTATIN CALCIUM,2.1055555555555556,ATORVASTATIN CALCIUM,2.1055555555555556,PD15740,ATORVASTATIN CALCIUM
00074-6215-13_00210038.jpg,OVAL,PINK,C42905,ANS,Depakote,2.107142857142857,Depakote,1.8214285714285714,Depakote,1.5714285714285714,ANS,Depakote
29300-0242-10_NLMIMAGE10_7F45BFDD.jpg,ROUND,WHITE,C42998,U224,Amlodipine Besylate,2.238888888888889,Amlodipine Besylate,2.0166666666666666,Amlodipine Besylate,2.0166666666666666,U242,Amlodipine Besylate
00054-0107-29_E90E74E3.jpg,CAPSULE,ORANGE,C25158,54744,Ramipril,2.143939393939394,Calcitriol,1.85,Calcitriol,1.85,54794,Ramipril
005910388.jpg,OVAL,WHITE,C42998,WATSON838,Hydrocodone Bitartrate and Acetaminophen,2.4973684210526317,Hydrocodone Bitartrate and Acetaminophen,2.3921052631578945,Hydrocodone Bitartrate and Acetaminophen,2.3921052631578945,WATSON388,Hydrocodone Bitartrate and Acetaminophen
005913173.jpg,OVAL,WHITE,C42998,WPI1337,Alendronate Sodium,2.0583333333333336,Benztropine Mesylate,2.0357142857142856,Nizatidine,1.9333333333333333,WPI3173,Alendronate Sodium
00310-0095-30_NLMIMAGE10_914AC8E6.jpg,ROUND,WHITE,C42998,D050,Daliresp,2.238888888888889,Daliresp,2.238888888888889,CASODEX,2.0166666666666666,D500,Daliresp
581770368.jpg,ROUND,WHITE,C42998,369,metoprolol succinate,2.25,Glipizide,2.0833333333333335,Ursodiol,1.8571428571428572,368,metoprolol succinate
003784090.jpg,ROUND,PINK,C42930,MER2,Ropinirole Hydrochloride,2.238888888888889,Ropinirole Hydrochloride,1.8,Nifedipine,1.5944444444444443,MRE2,Ropinirole Hydrochloride
005271789.jpg,ROUND,BLUE,C42931,LCI1079,Pilocarpine Hydrochloride,2.175,Fluphenazine Hydrochloride,2.175,Fluphenazine Hydrochloride,2.0583333333333336,LCI1789,Fluphenazine Hydrochloride
51285-0079-97_NLMIMAGE10_EE2F775B.jpg,ROUND,YELLOW,C42998,B977,LOESTRIN Fe 1/20,2.438888888888889,LOESTRIN Fe 1/20,2.438888888888889,Loestrin,2.438888888888889,B977,LOESTRIN 1/20
596300574.jpg,ROUND,WHITE,C42930,E574,FORTAMET,2.357142857142857,FORTAMET,1.8214285714285714,bisoprolol fumarate,1.7666666666666666,574,FORTAMET
422910723.jpg,CAPSULE,WHITE,C42931,RPR200,Riluzole,1.9835164835164836,Rilutek,1.9835164835164836,Riluzole,1.9835164835164836,RPR202,Riluzole
00093010901.jpg,ROUND,WHITE,C42998,TEVA09P,Buspirone Hydrochloride,1.8928571428571428,Metoclopramide,1.8194444444444444,Metoclopramide,1.8194444444444444,109TEVA,Carbamazepine
16714-0233-02_D307E9FF.jpg,CAPSULE,BLUE,C42931,P10050,Ethosuximide,1.75,Cefuroxime Axetil,1.7142857142857144,Metformin Hydrochloride,1.7142857142857144,P126500,Cefuroxime Axetil
00172-5728-60_SPLIMAGE30_9E27CF4E.jpg,ROUND,BROWN,C42931,TEVA5728,Famotidine,2.580065359477124,Famotidine,2.580065359477124,Famotidine,2.3513071895424833,TEVA5728,Famotidine
00007-3650-22_4C192669.jpg,CAPSULE,BROWN,C25158,LAYEOLINEL222,Prazosin Hydrochloride,1.5794314381270902,Mycophenolate Mofetil,1.5794314381270902,Thiothixene,1.5794314381270902,DYAZIDESB,DYAZIDE
003781066.jpg,ROUND,WHITE,C42998,M66,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2.107142857142857,Meloxicam,2.107142857142857,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2.107142857142857,M66,Meloxicam
51672-4025-04_6F2037C1.jpg,ROUND,ORANGE,C42998,TARO56,Amiodarone Hydrochloride,2.53021978021978,Imipramine Hydrochloride,1.8333333333333335,Imipramine Hydrochloride,1.8333333333333335,TARO56,Amiodarone Hydrochloride
687270601.jpg,CAPSULE,PURPLE,C25158,DLR105,Pradaxa,1.6333333333333333,CALCITRIOL,1.5,Tacrolimus,1.5,LCR150,Luvox CR
00555083402.jpg,OVAL,YELLOW,C42998,BARR1211,Antivert,1.5833333333333335,Aspirin,1.5714285714285714,Warfarin Sodium,1.5539215686274512,834712BARR,Warfarin Sodium
433530710.jpg,CAPSULE,ORANGE,C25158,GGLLY32250MG,Strattera,1.7053571428571428,Strattera,1.7053571428571428,Strattera,1.7053571428571428,IG323400MG,Gabapentin
000251821.jpg,OVAL,BLUE,C42931,LALDYL500,Flagyl,2.086842105263158,Xeloda,1.631578947368421,VALTREX,1.5419254658385093,FLAGYL500,Flagyl
572370004.jpg,CAPSULE,PINK,C42931,C05,Fluconazole,2.107142857142857,Fluconazole,2.107142857142857,Paroxetine,1.8333333333333335,C05,Fluconazole
51285-0690-02_NLMIMAGE10_852F42DA.jpg,ROUND,WHITE,C42998,OPO03,Urecholine,2.143939393939394,Doxazosin,1.9880952380952381,Doxazosin,1.9880952380952381,OP703,Urecholine
422910895.jpg,OVAL,BROWN,C42998,IP304,Venlafaxine Hydrochloride,2.2424242424242427,Venlafaxine Hydrochloride,2.2424242424242427,Venlafaxine Hydrochloride,1.893939393939394,IP304,Venlafaxine Hydrochloride
