epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.231,1.77335,5.4932,1.39273,0,0,0,0,1.33438,5.39504,1.11873,4.186e-05,4.186e-05,4.186e-05
2,644.551,1.43744,5.07252,1.09888,0,0,0,0,1.20117,5.02591,0.96624,8.36405e-05,8.36405e-05,8.36405e-05
3,954.778,1.39566,4.47126,1.05763,0.01682,0.24576,0.03961,0.02508,1.231,4.41111,0.96173,0.0001237,0.0001237,0.0001237
4,1269.55,1.36089,3.99816,1.06097,0.5928,0.07356,0.0429,0.0297,1.23014,3.76374,0.99698,0.000151437,0.000151437,0.000151437
5,1585.71,1.35668,3.69524,1.05826,0.50736,0.09494,0.06045,0.04382,1.2008,3.50131,1.01293,0.000148249,0.000148249,0.000148249
6,1907.52,1.33025,3.38575,1.05359,0.62742,0.10476,0.09207,0.06451,1.19525,3.27463,1.02263,0.000145061,0.000145061,0.000145061
7,2276.21,1.29632,3.15886,1.06408,0.58403,0.14036,0.12677,0.09101,1.17649,3.01379,1.0253,0.000141873,0.000141873,0.000141873
8,2647.05,1.30718,2.97211,1.05607,0.49816,0.17176,0.14046,0.09874,1.17665,2.83172,1.04314,0.000138685,0.000138685,0.000138685
9,3023.58,1.2646,2.84448,1.06406,0.52834,0.17779,0.16936,0.11732,1.16764,2.72067,1.04823,0.000135498,0.000135498,0.000135498
10,3347.61,1.28878,2.72644,1.06547,0.55735,0.18616,0.18174,0.13164,1.13684,2.55467,1.03701,0.00013231,0.00013231,0.00013231
11,3675.7,1.24387,2.57255,1.05464,0.51096,0.20927,0.19856,0.14253,1.13673,2.50321,1.02674,0.000129122,0.000129122,0.000129122
12,3990.07,1.23405,2.46686,1.04747,0.66063,0.22747,0.21262,0.15319,1.1438,2.37015,1.02584,0.000125934,0.000125934,0.000125934
13,4305.31,1.23734,2.40507,1.04636,0.49518,0.24754,0.22919,0.16467,1.15088,2.36794,1.02652,0.000122746,0.000122746,0.000122746
14,4623.1,1.23378,2.29575,1.05509,0.54564,0.24598,0.24721,0.18076,1.13388,2.26145,1.02928,0.000119559,0.000119559,0.000119559
15,4935.54,1.24387,2.23045,1.04132,0.53153,0.26658,0.25635,0.18739,1.13023,2.16832,1.02051,0.000116371,0.000116371,0.000116371
16,5254.14,1.22312,2.16754,1.04395,0.72957,0.25204,0.28152,0.20866,1.11509,2.09676,1.01646,0.000113183,0.000113183,0.000113183
17,5567.91,1.23838,2.15276,1.05001,0.6447,0.27536,0.28786,0.21214,1.11131,2.12607,1.00906,0.000109995,0.000109995,0.000109995
18,5882.76,1.19041,2.04116,1.04375,0.66238,0.30188,0.31276,0.23248,1.09658,1.98258,1.01585,0.000106807,0.000106807,0.000106807
19,6206.32,1.19792,2.05237,1.03744,0.71706,0.30041,0.31757,0.23577,1.0981,2.01443,1.01533,0.00010362,0.00010362,0.00010362
20,6557.63,1.17907,2.00247,1.03551,0.70234,0.30527,0.33042,0.24545,1.09749,1.95856,1.01751,0.000100432,0.000100432,0.000100432
21,6938.39,1.17614,1.91807,1.04376,0.69712,0.29953,0.33748,0.24992,1.09615,1.87781,1.01562,9.7244e-05,9.7244e-05,9.7244e-05
22,7288.63,1.18479,1.90058,1.05053,0.78968,0.27568,0.34046,0.25538,1.09786,1.8486,1.02008,9.40562e-05,9.40562e-05,9.40562e-05
23,7646.91,1.17376,1.843,1.03009,0.69425,0.30078,0.35111,0.26271,1.09017,1.82852,1.01287,9.08684e-05,9.08684e-05,9.08684e-05
24,8001.65,1.16555,1.83997,1.02927,0.67652,0.3058,0.34991,0.25771,1.08563,1.7898,1.0148,8.76806e-05,8.76806e-05,8.76806e-05
25,8320.15,1.18754,1.83,1.03898,0.63481,0.35897,0.36365,0.2688,1.08232,1.77011,1.01522,8.44928e-05,8.44928e-05,8.44928e-05
26,8645.04,1.17424,1.85106,1.02667,0.63484,0.35283,0.37026,0.27623,1.07335,1.75456,1.01128,8.1305e-05,8.1305e-05,8.1305e-05
27,8986.52,1.17741,1.78697,1.02876,0.64425,0.36804,0.37057,0.27514,1.07713,1.71109,1.01239,7.81172e-05,7.81172e-05,7.81172e-05
28,9300.29,1.15896,1.7031,1.02121,0.76019,0.30575,0.37347,0.28045,1.06949,1.68071,1.00932,7.49294e-05,7.49294e-05,7.49294e-05
29,9637.46,1.14328,1.68821,1.01644,0.72567,0.32288,0.3815,0.28731,1.06021,1.70298,1.00476,7.17416e-05,7.17416e-05,7.17416e-05
30,10021.6,1.15405,1.68481,1.0281,0.72386,0.33159,0.38063,0.28276,1.06272,1.68517,1.00189,6.85538e-05,6.85538e-05,6.85538e-05
31,10363.5,1.16196,1.68612,1.02435,0.70496,0.36119,0.39461,0.2934,1.06512,1.64225,1.00554,6.5366e-05,6.5366e-05,6.5366e-05
32,10705.1,1.14613,1.6781,1.02013,0.68753,0.35471,0.39535,0.29116,1.06715,1.63034,1.00605,6.21782e-05,6.21782e-05,6.21782e-05
33,11085.6,1.13091,1.63055,1.02178,0.78793,0.32916,0.39368,0.29333,1.06516,1.64254,1.00674,5.89904e-05,5.89904e-05,5.89904e-05
34,11408,1.15744,1.65937,1.02417,0.67648,0.37696,0.40532,0.30151,1.06512,1.63409,1.00598,5.58026e-05,5.58026e-05,5.58026e-05
35,11724.3,1.13156,1.5967,1.02224,0.69578,0.35768,0.40935,0.30609,1.05769,1.63899,1.00194,5.26148e-05,5.26148e-05,5.26148e-05
36,12046.7,1.13352,1.58692,1.00735,0.73546,0.34511,0.41845,0.3092,1.06169,1.60736,1.0068,4.9427e-05,4.9427e-05,4.9427e-05
