epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,877.768,1.3444,5.05686,1.12595,0.49584,0.07629,0.03393,0.02639,0.93628,4.05192,0.91857,4.66148e-05,4.66148e-05,4.66148e-05
2,1788.17,1.02766,3.48709,0.96398,0.59602,0.13392,0.11858,0.09605,0.79434,2.85306,0.92987,9.17612e-05,9.17612e-05,9.17612e-05
3,2734.59,0.94731,2.71888,0.95768,0.67712,0.18573,0.20272,0.1661,0.74683,2.27049,0.92337,0.000135046,0.000135046,0.000135046
4,3690.87,0.89372,2.2571,0.94964,0.54723,0.28143,0.29033,0.24151,0.67563,1.89483,0.90354,0.000132625,0.000132625,0.000132625
5,4635,0.84997,2.00315,0.93458,0.722,0.30302,0.35821,0.30256,0.63993,1.63076,0.89456,0.000129833,0.000129833,0.000129833
6,5655.21,0.81153,1.80747,0.92569,0.67497,0.39515,0.4284,0.36392,0.61923,1.45573,0.88908,0.000127041,0.000127041,0.000127041
7,6586.24,0.81061,1.67286,0.92377,0.64509,0.43531,0.46646,0.39929,0.59913,1.33914,0.88988,0.000124249,0.000124249,0.000124249
8,7576.63,0.78534,1.5667,0.91772,0.68202,0.45697,0.50479,0.43269,0.58736,1.24146,0.88162,0.000121457,0.000121457,0.000121457
9,8530.74,0.77757,1.49291,0.91657,0.77201,0.47589,0.53521,0.46185,0.5743,1.18094,0.87845,0.000118666,0.000118666,0.000118666
10,9499.9,0.7569,1.4136,0.91108,0.71747,0.51762,0.56745,0.49179,0.56211,1.11902,0.87663,0.000115874,0.000115874,0.000115874
11,10464.7,0.75366,1.36624,0.91043,0.75376,0.51744,0.57965,0.50141,0.55871,1.089,0.87552,0.000113082,0.000113082,0.000113082
12,11488.2,0.73799,1.30224,0.90763,0.79771,0.51756,0.59995,0.51847,0.55158,1.03611,0.87582,0.00011029,0.00011029,0.00011029
13,12497.7,0.74818,1.28851,0.907,0.79484,0.53338,0.60681,0.52407,0.54931,1.00222,0.87361,0.000107498,0.000107498,0.000107498
14,13529.5,0.72762,1.23392,0.90167,0.76624,0.56568,0.6241,0.54136,0.5461,0.98115,0.87064,0.000104707,0.000104707,0.000104707
15,14545.7,0.72189,1.1886,0.89901,0.81608,0.54287,0.63221,0.54896,0.54393,0.94684,0.87172,0.000101915,0.000101915,0.000101915
16,15542.9,0.71435,1.1707,0.89908,0.80589,0.56664,0.63704,0.55347,0.53729,0.90437,0.86816,9.9123e-05,9.9123e-05,9.9123e-05
17,16563.6,0.72008,1.14212,0.89831,0.76597,0.58496,0.65405,0.5662,0.54342,0.90661,0.8702,9.63312e-05,9.63312e-05,9.63312e-05
18,17868.2,0.72001,1.13228,0.89948,0.77983,0.58378,0.65827,0.5703,0.54143,0.87466,0.86749,9.35394e-05,9.35394e-05,9.35394e-05
19,19049.9,0.70833,1.09829,0.89538,0.78543,0.58113,0.65829,0.57122,0.52961,0.87193,0.86522,9.07476e-05,9.07476e-05,9.07476e-05
20,20470.5,0.69909,1.0759,0.89388,0.77018,0.60509,0.67812,0.58929,0.5273,0.84052,0.86566,8.79558e-05,8.79558e-05,8.79558e-05
21,21624.4,0.68811,1.03592,0.89237,0.76949,0.58852,0.68231,0.58898,0.52985,0.83634,0.86549,8.5164e-05,8.5164e-05,8.5164e-05
22,22810.7,0.69367,1.04092,0.89028,0.83647,0.58712,0.6794,0.5855,0.53467,0.81931,0.86547,8.23722e-05,8.23722e-05,8.23722e-05
23,23782.3,0.68535,1.02299,0.8913,0.81651,0.58713,0.69214,0.60104,0.52287,0.81254,0.86342,7.95804e-05,7.95804e-05,7.95804e-05
