epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.595,3.03691,5.78004,2.49676,0,0,0,0,2.91359,5.93931,2.52628,3.625e-05,3.625e-05,3.625e-05
2,366.508,2.64334,5.61061,2.19792,0,0,0,0,2.51799,5.70113,2.2076,7.24858e-05,7.24858e-05,7.24858e-05
3,579.333,2.5097,5.4813,2.1224,0,0,0,0,2.559,5.59842,2.28941,0.000107229,0.000107229,0.000107229
4,781.649,2.2958,5.30508,1.95452,0.00648,0.01148,0.00423,0.00324,2.59976,5.45839,2.38495,0.000136387,0.000136387,0.000136387
5,994.221,2.23526,5.33003,1.90887,0.0035,0.04529,0.0057,0.00382,2.70085,5.31521,2.45773,0.000133516,0.000133516,0.000133516
6,1176.07,2.25391,5.17837,1.9902,0.66824,0.00981,0.00733,0.00473,2.75481,5.23439,2.48353,0.000130645,0.000130645,0.000130645
7,1362.87,2.15729,5.0811,1.94807,0.69939,0.01999,0.00968,0.0066,2.74039,5.22988,2.53413,0.000127774,0.000127774,0.000127774
8,1544.96,2.15748,4.95077,1.89157,0.70892,0.01483,0.01083,0.0078,2.72967,5.21191,2.55592,0.000124903,0.000124903,0.000124903
9,1731.63,2.17074,5.01642,1.95239,0.70626,0.01036,0.01108,0.00828,2.65003,5.19563,2.51693,0.000122032,0.000122032,0.000122032
10,1916.18,2.15179,5.01554,1.91775,0.57625,0.0134,0.01019,0.00712,2.60997,5.21297,2.56839,0.000119161,0.000119161,0.000119161
11,2106.6,2.13255,4.99865,1.90199,0.59481,0.00857,0.00807,0.00559,2.64367,5.18457,2.64159,0.00011629,0.00011629,0.00011629
12,2295.98,2.05229,4.89601,1.85734,0.59687,0.01053,0.00985,0.00677,2.66247,5.1717,2.65769,0.000113419,0.000113419,0.000113419
13,2481.08,2.02979,4.69719,1.80964,0.53303,0.01679,0.01061,0.00736,2.68691,5.09181,2.65414,0.000110548,0.000110548,0.000110548
14,2668.39,1.98741,4.80389,1.84022,0.56284,0.01507,0.01318,0.0091,2.64,5.07366,2.6534,0.000107677,0.000107677,0.000107677
15,2861.68,2.03102,4.76511,1.83937,0.55564,0.01905,0.01311,0.00939,2.64811,5.0748,2.66246,0.000104806,0.000104806,0.000104806
16,3049.52,2.01486,4.73972,1.82307,0.54235,0.02497,0.01281,0.0089,2.58676,5.10071,2.64904,0.000101935,0.000101935,0.000101935
17,3247.24,2.02387,4.71922,1.8143,0.51601,0.01574,0.01156,0.00764,2.60204,5.08321,2.68521,9.9064e-05,9.9064e-05,9.9064e-05
18,3444.85,1.95212,4.82563,1.74117,0.40346,0.02325,0.012,0.00828,2.65382,5.07004,2.70471,9.6193e-05,9.6193e-05,9.6193e-05
19,3648.61,1.94599,4.67381,1.79552,0.43328,0.018,0.01176,0.00784,2.6205,5.03932,2.66748,9.3322e-05,9.3322e-05,9.3322e-05
20,3858.28,2.02467,4.64024,1.80827,0.45059,0.02001,0.01107,0.00743,2.60913,5.05682,2.68675,9.0451e-05,9.0451e-05,9.0451e-05
21,4067.99,1.96824,4.62635,1.78164,0.60234,0.01531,0.01191,0.00807,2.60025,5.01589,2.69031,8.758e-05,8.758e-05,8.758e-05
22,4271.09,1.9098,4.48323,1.72805,0.45071,0.029,0.01154,0.008,2.59937,4.99759,2.69867,8.4709e-05,8.4709e-05,8.4709e-05
23,4490.08,1.88293,4.66051,1.70592,0.38903,0.02982,0.01197,0.00802,2.55427,5.02199,2.69606,8.1838e-05,8.1838e-05,8.1838e-05
24,4694.58,1.96767,4.45363,1.76088,0.46896,0.01871,0.01264,0.00836,2.63202,5.00448,2.73977,7.8967e-05,7.8967e-05,7.8967e-05
25,4901.38,1.90459,4.40943,1.73165,0.50998,0.02389,0.01487,0.00988,2.66874,4.97669,2.77986,7.6096e-05,7.6096e-05,7.6096e-05
26,5105.93,1.93334,4.5801,1.77104,0.48287,0.02633,0.01288,0.00869,2.6161,4.96935,2.71918,7.3225e-05,7.3225e-05,7.3225e-05
27,5320.29,1.95346,4.53243,1.79099,0.46407,0.02851,0.01322,0.00902,2.61545,4.94562,2.67143,7.0354e-05,7.0354e-05,7.0354e-05
28,5520.47,1.82101,4.61103,1.60253,0.34324,0.02964,0.01211,0.00832,2.6407,4.97118,2.67555,6.7483e-05,6.7483e-05,6.7483e-05
29,5715.66,1.83397,4.64808,1.66937,0.45946,0.01902,0.01481,0.01003,2.61855,4.90182,2.68541,6.4612e-05,6.4612e-05,6.4612e-05
30,5913.7,1.94146,4.41126,1.74154,0.39034,0.02884,0.01406,0.00978,2.6012,4.91623,2.64876,6.1741e-05,6.1741e-05,6.1741e-05
31,6101.37,1.98698,4.488,1.7831,0.38998,0.02784,0.01519,0.01034,2.55339,4.89915,2.622,5.887e-05,5.887e-05,5.887e-05
32,6291.88,1.8781,4.35858,1.7292,0.34743,0.0247,0.01408,0.00943,2.56604,4.91955,2.63762,5.5999e-05,5.5999e-05,5.5999e-05
33,6480.37,1.93992,4.44029,1.77676,0.37063,0.02586,0.01384,0.00949,2.5724,4.91644,2.615,5.3128e-05,5.3128e-05,5.3128e-05
34,6668.5,1.90267,4.38004,1.77069,0.32873,0.02613,0.01482,0.01014,2.56509,4.89708,2.5967,5.0257e-05,5.0257e-05,5.0257e-05
35,6858.43,1.90942,4.37056,1.7247,0.37574,0.02609,0.01477,0.01011,2.55589,4.89558,2.59738,4.7386e-05,4.7386e-05,4.7386e-05
36,7047.88,1.86409,4.42189,1.75835,0.35114,0.02804,0.01463,0.01005,2.55896,4.87659,2.58527,4.4515e-05,4.4515e-05,4.4515e-05
37,7234.71,1.85091,4.17523,1.66549,0.39423,0.02978,0.01552,0.01074,2.55643,4.92268,2.62688,4.1644e-05,4.1644e-05,4.1644e-05
38,7428.59,1.92133,4.34553,1.73908,0.39784,0.02838,0.01666,0.01147,2.58258,4.89497,2.661,3.8773e-05,3.8773e-05,3.8773e-05
39,7618.38,1.89954,4.33638,1.72521,0.39419,0.02519,0.0168,0.01152,2.56785,4.88821,2.6421,3.5902e-05,3.5902e-05,3.5902e-05
40,7809.63,1.90803,4.3493,1.77435,0.39303,0.02558,0.01637,0.01105,2.57578,4.88754,2.62719,3.3031e-05,3.3031e-05,3.3031e-05
41,7998.01,1.83244,4.38096,1.66442,0.39192,0.02574,0.01626,0.01101,2.59106,4.90806,2.6698,3.016e-05,3.016e-05,3.016e-05
42,8183.86,1.89739,4.39172,1.6874,0.33395,0.03667,0.01899,0.01272,2.58253,4.91979,2.67441,2.7289e-05,2.7289e-05,2.7289e-05
43,8374.38,1.82855,4.31723,1.67818,0.35576,0.03175,0.01836,0.01216,2.57961,4.88877,2.66321,2.4418e-05,2.4418e-05,2.4418e-05
44,8563.76,1.8507,4.31948,1.70284,0.39847,0.03159,0.01698,0.01135,2.57497,4.86107,2.66603,2.1547e-05,2.1547e-05,2.1547e-05
45,8752.69,1.80082,4.31853,1.67549,0.35436,0.02864,0.01669,0.01103,2.56098,4.85962,2.64146,1.8676e-05,1.8676e-05,1.8676e-05
46,8940.29,1.87462,4.37561,1.65921,0.35527,0.0295,0.01666,0.01111,2.57075,4.86525,2.65593,1.5805e-05,1.5805e-05,1.5805e-05
47,9130.82,1.81495,4.23337,1.63608,0.35961,0.02927,0.01773,0.01155,2.58561,4.85401,2.67864,1.2934e-05,1.2934e-05,1.2934e-05
48,9318.6,1.79938,4.292,1.6571,0.35997,0.03255,0.01813,0.01189,2.58316,4.84619,2.67662,1.0063e-05,1.0063e-05,1.0063e-05
